tag,cond_key,scope,dynamic,b,t,prec,tf32_lstm,num_repeat,feature_dim,lstm_n,allow_rnn,gpu,compile_s,ms_step_median,ms_step_mean,peak_GiB,graph_break,dynamo_frames,recompile_in_measure,status,error
axes-full,a1adf7424daada6d,separator,False,4,48000,bf16-mixed,False,6,128,12,False,0,11.2,429.3,436.6,5.13,3,6,0,ok,
axes-full,c3dd0a629d55e725,separator,False,4,48000,fp16-mixed,True,6,128,12,False,0,10.6,432.6,442.1,5.13,3,6,0,ok,
axes-full,45f7bdfbff6d1dd8,separator,False,8,48000,bf16-mixed,False,6,128,12,False,0,11.0,428.5,441.3,9.88,3,6,0,ok,
axes-full,8aa9c3c8e5aecd4c,separator,False,8,48000,fp16-mixed,True,6,128,12,False,0,11.6,437.0,443.3,9.88,3,6,0,ok,
axes-full,bfd863bf32039df7,separator&spk,False,8,48000,bf16-mixed,True,6,128,12,False,1,31.6,495.4,9783.5,9.88,3,39,22,ok,
axes-full,f55252c9de0c611c,separator,False,16,48000,bf16-mixed,False,6,128,12,False,0,11.4,621.2,623.1,19.38,3,6,0,ok,
axes-full,5f9af9e44b038b33,separator&spk,False,16,48000,fp32,False,6,128,12,False,1,nan,nan,nan,nan,0,0,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.82 GiB. GPU 0 has a total capacity of 23.56 GiB of which 23.12 MiB is free. Including non-PyTorch memory, this process has 23.53 GiB memory in use. Of the allocated memory 20.41 GiB is allocated by PyTorch, and 2.72 GiB is reserved by PyTorch"
axes-full,af3bba66ec7b27cc,separator,False,16,48000,fp16-mixed,True,6,128,12,False,0,11.3,625.3,628.2,19.38,3,6,0,ok,
axes-full,087e16af16441ad6,separator,True,1,48000,bf16-mixed,False,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,9b3700ea290a3b02,separator,True,1,48000,fp16-mixed,True,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,4bb4d0c6969d0952,separator,True,2,48000,bf16-mixed,False,6,128,12,False,0,20.1,416.0,421.5,2.8,4,10,0,ok,
axes-full,a660147b8bd9e8ec,separator,True,2,48000,fp16-mixed,True,6,128,12,False,0,18.6,435.2,447.1,2.77,4,10,0,ok,
axes-full,ef80925d91733303,separator,True,4,48000,bf16-mixed,False,6,128,12,False,0,21.4,436.2,442.3,5.13,4,10,0,ok,
axes-full,6b7bf75efd4e5e29,separator&spk,False,8,48000,fp16-mixed,False,6,128,12,False,3,30.3,441.5,9375.1,9.88,3,39,22,ok,
axes-full,3815a79c1201fa78,separator,True,4,48000,fp16-mixed,True,6,128,12,False,0,18.5,431.1,437.4,5.13,4,10,0,ok,
